testing batch,Standardized_SMILES,True Values,Predictions
1,NC(=O)c1cccc(OC2CC3CCC(C2)N3CCc2ccccc2)c1,9.42,5.0190909090909095
1,Cc1ccc(N2CCN(CCN3Cc4ccccc4C3)C2=O)cn1,4.5,5.358181818181818
1,CNCc1ccc(C(F)(F)F)cc1Oc1ccc(Cl)cc1,5.29,5.245454545454546
1,CC(C)(c1ccccc1)N1C2CCC1CC(Oc1cccc(C(N)=O)c1)C2,8.33,4.9363636363636365
1,Cc1cc2c(s1)=Nc1ccccc1NC=2N1CCN(C)CC1,6.64,5.020909090909091
1,CNC(C)c1ccc(Cl)cc1Oc1ccc(C)cc1,5.43,4.993636363636364
1,CNC(=O)c1ccc(-c2ccc3c(c2)CCN(CCN2CCCC2)C3=O)cc1,4.54,4.946363636363636
1,CC(C)(C)CCN1CCC(CNC(=O)c2cccc(Cl)c2)CC1,5.32,4.946363636363636
1,CCc1cc(Oc2ccc(F)cc2CNC)ccc1Cl,5.34,5.166363636363637
1,NC(=O)C1CSCC(c2ccc(OCc3cccc(F)c3)cc2)N1,4.6,4.822727272727273
1,CNCc1ccc(Cl)cc1Oc1ccc(Cl)c(C)c1,5.75,5.157272727272727
1,CNCc1ccc(Cl)cc1Oc1ccc(C)c(Cl)c1,5.97,5.157272727272727
1,O=C(Nc1cccc(Cl)c1)N1CCN(CC2CCCN(C3CC3)C2)CC1,4.55,4.834545454545455
1,O=C(Nc1ccc(Cl)cc1)N1CCN(CC2CCCN(C3CC3)C2)CC1,4.85,4.834545454545455
1,N#Cc1cc(C2CCC(C(N)=O)N2)ccc1OCc1ccccc1F,4.8,4.920909090909091
1,FC(F)Oc1ccccc1CC(c1ccccc1)N1CCNCC1,4.9,5.067272727272727
1,CC(C)Oc1ccccc1CC(c1ccccc1)N1CCNCC1,5.2,5.042727272727273
1,Cc1ccc(C(C)N2C3CCC2CC(Oc2cccc(C(N)=O)c2)C3)cn1,8.52,4.902727272727273
1,NC(=O)c1cccc(OC2CC3CCC(C2)N3C2(c3ccccc3)CC2)c1,8.32,4.9363636363636365
1,NC(=O)c1cccc(NC2CC3CCC(C2)N3Cc2ccccc2)c1,5.96,4.9363636363636365
1,CNCc1ccc(OC)cc1Oc1ccc(Cl)c(Cl)c1,6.16,5.204545454545455
1,c1ccc(C(Cc2ccccc2OC2CC2)N2CCNCC2)cc1,5.19,5.092727272727273
1,NC(=O)c1cccc(SC2CC3CCC(C2)N3Cc2ccccc2)c1,5.96,4.9363636363636365
1,Brc1cncc(COCC2(c3ccccc3)CCNCC2)c1,4.82,5.17909090909091
1,CNCc1cc(C(N)=O)ccc1Oc1ccc(Cl)c(Cl)c1,5.26,4.918181818181818
1,NC(=O)C1CCC(c2ccc(OCc3ccccc3F)cc2F)N1,4.9,4.920909090909091
1,N#Cc1cccc(COc2ccc(C3CCC(C(N)=O)N3)cc2)c1,4.9,4.848181818181819
1,N#Cc1ccccc1COc1ccc(C2CCC(C(N)=O)N2)cc1,4.8,4.920909090909091
1,N#Cc1ccc(COc2ccc(C3CCC(C(N)=O)N3)cc2)cc1,5.1,4.848181818181819
1,NC(=O)C1CCC(c2ccc(OCc3ccccc3F)cn2)N1,4.8,4.918181818181818
1,CCOc1ccccc1CC(c1ccccc1)N1CCNCC1,5.16,5.058181818181819
1,CCC(CC)CN=c1c(C(N)=O)c[nH]c2ccc(C#N)cc12,5.64,4.905454545454546
1,CNC(C)c1cc(F)ccc1Oc1ccc(Cl)cc1,5.28,5.000909090909091
1,NC(=O)C1CCCC(c2ccc(OCc3cccc(F)c3)cc2)N1,5.0,4.848181818181819
1,NC(=O)c1cccc(OC2CC3CCC(C2)N3CC2CCCCC2)c1,7.199999999999999,4.863636363636364
1,CNC(=O)C1CCC(c2ccc(OCc3ccccc3F)cc2)N1,4.6,4.914545454545455
1,CNCc1ccc(Cl)cc1Oc1ccc(Cl)c(F)c1,5.91,5.157272727272727
1,CNCc1cc(F)ccc1Oc1ccc(Cl)c(Cl)c1,5.25,5.166363636363637
1,CNCc1ccc(Cl)cc1Oc1ccc(F)c(Cl)c1,5.68,5.157272727272727
1,CNCc1ccc(F)cc1Oc1ccc(Cl)c(Cl)c1,5.52,5.166363636363637
1,Cc1ccc(CN2C3CCC2CC(Oc2cccc(C(N)=O)c2)C3)s1,8.085,4.863636363636364
1,FC(F)(F)Oc1ccccc1CC(c1ccccc1)N1CCNCC1,4.96,5.067272727272727
1,CNCc1cc(Cl)ccc1Oc1ccc(C)c(C)c1,5.28,5.157272727272727
1,CNCc1ccc(Cl)cc1Oc1ccc(C)c(C)c1,5.76,5.157272727272727
1,CC(c1ccccc1)N1C2CCC1CC(Oc1cccc(C(N)=O)c1)C2,8.22,4.9363636363636365
1,CNCc1ccc(Cl)cc1Oc1ccc(Cl)cc1,6.19,5.157272727272727
1,CNCc1cc(Cl)ccc1Oc1ccc(Cl)cc1,5.32,5.157272727272727
1,CNCc1ccc(Cl)cc1Oc1cccc(Cl)c1,5.68,5.157272727272727
1,CNCc1ccccc1Oc1ccc(Cl)c(Cl)c1,5.41,5.23
1,NC(=O)C1CCC(c2cccc(OCc3ccccc3)c2)N1,4.6,4.920909090909091
1,NC(=O)C1CCC(c2ccc(OCc3ccccc3)cc2)N1,5.1,4.920909090909091
1,NC(=O)C1CCC(c2ccc(OCc3cccc(F)c3)cc2)N1,5.5,4.848181818181819
1,NC(=O)C1CCC(c2ccc(OCc3ccccc3F)cc2)N1,5.1,4.920909090909091
1,NC(=O)C1CCC(c2ccc(OCc3ccc(F)cc3)cc2)N1,5.1,4.857272727272728
1,CC(Oc1ccc(C2CCC(C(N)=O)N2)cc1)c1ccccc1,5.4,4.949090909090909
1,CNCc1ccc(Cl)cc1Oc1ccc(C)cc1,5.79,5.157272727272727
1,NC(=O)c1ccc(OC2CC3CCC(C2)N3Cc2ccccc2)c(F)c1,5.85,4.9363636363636365
1,NC(=O)c1cc(F)cc(OC2CC3CCC(C2)N3Cc2ccccc2)c1,6.17,4.9363636363636365
1,CNCc1cc(C(F)(F)F)ccc1Oc1ccc(C)cc1,4.98,5.245454545454546
1,Cc1ccccc1CN1C2CCC1CC(Oc1cccc(C(N)=O)c1)C2,9.21,4.9363636363636365
1,Cc1ccc(CN2C3CCC2CC(Oc2cccc(C(N)=O)c2)C3)cc1,9.85,4.863636363636364
1,Cc1cc(OC2CC3CCC(C2)N3Cc2ccccc2)cc(C(N)=O)c1,6.18,4.9363636363636365
1,Cc1cccc(CN2C3CCC2CC(Oc2cccc(C(N)=O)c2)C3)c1,9.28,4.863636363636364
1,Cc1c(OC2CC3CCC(C2)N3Cc2ccccc2)cccc1C(N)=O,5.96,4.907272727272727
1,Cc1cc(C(N)=O)ccc1OC1CC2CCC(C1)N2Cc1ccccc1,6.0,4.956363636363637
1,CNCc1cc(F)ccc1Oc1ccc(C)c(C)c1,4.7,5.166363636363637
1,CC(c1ccncc1)N1C2CCC1CC(Oc1cccc(C(N)=O)c1)C2,8.43,4.835454545454546
1,CNCc1ccc(Cl)cc1Oc1ccc(F)c(C)c1,5.52,5.157272727272727
1,O=C1N(CCN2CCC(C(F)(F)F)CC2)CCN1c1cccc(O)c1,4.8,5.175454545454546
1,CNCc1cc(F)ccc1Oc1ccc(Cl)cc1,5.13,5.166363636363637
1,NC(=O)c1cncc(OC2CC3CCC(C2)N3Cc2ccccc2)n1,4.82,4.836363636363637
1,NC(=O)c1cccc(CC2CC3CCC(C2)N3Cc2ccccc2)c1,6.21,4.9363636363636365
1,NC(=O)c1cccc(OC2CC3CCC(C2)N3Cc2cccs2)c1,9.37,4.863636363636364
1,NC(=O)C1CCC(c2cccc(Oc3ccccc3)c2)N1,4.2,4.949090909090909
1,NC(=O)C1CCC(c2ccc(Oc3ccccc3)cc2)N1,4.9,4.949090909090909
1,Cc1ccc(CN2C3CCC2CC(Oc2cccc(C(N)=O)c2)C3)o1,8.55,4.883636363636364
1,N#Cc1ccccc1Oc1ccc(C2CCC(C(N)=O)N2)cc1,5.4,4.949090909090909
1,NC(=O)c1cccc(OC2CC3CCC(C2)N3CC2CC2)c1,8.14,4.863636363636364
1,NC(=O)c1ccccc1OC1CC2CCC(C1)N2Cc1ccccc1,6.47,4.907272727272727
1,NC(=O)c1cccc(OC2CC3CCC(C2)N3Cc2ccccc2)c1,6.21,4.9363636363636365
1,NC(=O)c1ccc(OC2CC3CCC(C2)N3Cc2ccccc2)cc1,6.17,4.9363636363636365
1,NC(=O)c1cccc(OC2CC3CCC(C2)N3Cc2ccccc2)n1,6.0,4.836363636363637
1,NC(=O)c1cncc(OC2CC3CCC(C2)N3Cc2ccccc2)c1,5.82,4.9363636363636365
1,NC(=O)c1ccnc(OC2CC3CCC(C2)N3Cc2ccccc2)c1,6.0,5.003636363636364
1,NC(=O)c1cccc(OC2CC3CCC(C2)N3Cc2ccccn2)c1,8.72,5.003636363636364
1,NC(=O)c1cccc(OC2CC3CCC(C2)N3Cc2cccnc2)c1,8.46,4.863636363636364
1,NC(=O)c1ccc(OC2CC3CCC(C2)N3Cc2ccccc2)nc1,5.89,4.943636363636364
1,NC(=O)c1cc(OC2CC3CCC(C2)N3Cc2ccccc2)ccn1,5.8,4.903636363636364
1,NC(=O)c1cccc(OC2CC3CCC(C2)N3Cc2ccncc2)c1,8.82,4.863636363636364
1,CNCc1cc(F)ccc1Oc1ccc(F)c(Cl)c1,5.08,5.166363636363637
1,CNCc1cc(F)ccc1Oc1ccc(Cl)c(F)c1,5.33,5.166363636363637
1,CNCc1ccc(C#N)cc1Oc1ccc(Cl)c(Cl)c1,5.88,5.094545454545455
1,CNCc1cc(C#N)ccc1Oc1ccc(Cl)c(Cl)c1,5.34,5.094545454545455
1,NC(=O)C1CCC(c2ccc(Oc3ccc(F)cc3)cc2)N1,5.3,4.885454545454546
1,NC(=O)C1CCC(c2ccc(Oc3cccc(F)c3)cc2)N1,5.1,4.876363636363636
1,CN1C(C(N)=O)CCC1c1ccc(OCc2ccccc2F)cc1,4.3,4.917272727272728
1,COc1ccccc1CC(c1ccccc1F)N1CCNCC1,4.4,5.149090909090909
1,COc1ccccc1CC(c1ccc(F)cc1)N1CCNCC1,4.8,5.117272727272728
1,COc1cccc(F)c1CC(c1ccccc1)N1CCNCC1,5.07,5.117272727272728
1,COc1c(F)cccc1CC(c1ccccc1)N1CCNCC1,4.68,5.256363636363637
1,COc1ccccc1CC(c1ccccc1)N1CCNCC1,4.41,5.08909090909091
1,NC(=O)c1cccc(OC2CC3CCC(C2)N3C2CCCCC2)c1,7.82,4.863636363636364
1,CC(C)CN(C(=O)c1cccc(Cl)c1Cl)C1CCNC1,4.7,4.93
1,Oc1cccc(OC2CC3CCC(C2)N3Cc2ccccc2)c1,5.8,5.175454545454546
1,c1ccc(C(Cc2cccc3c2OCC3)N2CCNCC2)cc1,4.67,5.048181818181818
2,CNC(C)c1ccccc1Oc1ccc(Cl)c(Cl)c1,5.42,5.281874999999999
2,CNCCCN1c2ccccc2CCc2ccccc21,5.86,5.394374999999999
2,CNC(=O)c1ccc(-c2ccc3c(c2)CCN(CCN2CCCC2C)C3=O)cc1,4.77,4.987499999999999
2,N#Cc1cc(N2CCN(CCN3Cc4ccccc4C3)C2=O)ccc1F,5.0,5.36625
2,Cc1ccc(NC(=O)N2CCN(CC3CCCN(C4CC4)C3)CC2)cc1Cl,5.15,4.998125
2,CNC(C)c1ccc(Cl)cc1Oc1ccc(C)c(C)c1,5.61,5.153124999999999
2,O=C1N(CCN2CC3CCC2C3)CCN1c1cccc(Cl)c1,4.9,5.2318750000000005
2,Cc1ccc(C(C)N2C3CCC2CC(Oc2cccc(C(N)=O)c2)C3)s1,8.675,5.311249999999999
2,COCC1CCCN1N1CCN(c2cccc(Cl)c2)C1=O,5.3,5.29875
2,O=C(Nc1ccc(Cl)c(Cl)c1)N1CCN(CC2CCCNC2)CC1,5.8,5.0093749999999995
2,Cc1ccc(N2CCN(CCN3Cc4ccccc4C3)C2=O)s1,4.5,5.487499999999999
2,Fc1ccccc1C(Cc1ccccc1OC(F)F)N1CCNCC1,5.19,5.330625
2,Fc1cccc(OC(F)F)c1CC(c1ccccc1)N1CCNCC1,4.98,5.824375
2,Fc1ccc(C(Cc2ccccc2OC(F)F)N2CCNCC2)cc1,5.04,5.308750000000001
2,Fc1cccc(C(Cc2ccccc2OC(F)F)N2CCNCC2)c1,5.08,5.45625
2,NC(=O)c1cccc(OC2CC3CCC(C2)N3Cc2ccc3c(c2)OCO3)c1,9.21,5.687499999999998
2,Cc1ccccc1C(C)N1C2CCC1CC(Oc1cccc(C(N)=O)c1)C2,8.31,5.239374999999999
2,N#Cc1cccc(N2CCN(CCN3Cc4ccccc4C3)C2=O)c1,5.5,5.3843749999999995
2,CNCc1cc(F)c(OC)cc1Oc1ccc(Cl)c(Cl)c1,5.67,5.1425
2,CN1CCCC(CN2CCN(C(=O)Nc3ccc(Cl)c(Cl)c3)CC2)C1,5.8,5.006874999999999
2,NC(=O)c1cccc(OC2CC3CCC(C2)N3C2CCCc3ccccc32)c1,9.02,5.265624999999999
2,NC(=O)c1cccc(OC2CC3CCC(C2)N3CCc2ccccc2)c1,9.42,5.951874999999999
2,Cc1ccc(N2CCN(CCN3Cc4ccccc4C3)C2=O)cn1,4.5,5.2524999999999995
2,CNCc1ccc(C(F)(F)F)cc1Oc1ccc(Cl)cc1,5.29,5.546875000000001
2,CC(C)(c1ccccc1)N1C2CCC1CC(Oc1cccc(C(N)=O)c1)C2,8.33,5.5562499999999995
2,Cc1cc2c(s1)=Nc1ccccc1NC=2N1CCN(C)CC1,6.64,5.371874999999999
2,CNC(C)c1ccc(Cl)cc1Oc1ccc(C)cc1,5.43,5.153124999999999
2,CNC(=O)c1ccc(-c2ccc3c(c2)CCN(CCN2CCCC2)C3=O)cc1,4.54,5.023124999999999
2,CC(C)(C)CCN1CCC(CNC(=O)c2cccc(Cl)c2)CC1,5.32,5.051874999999999
2,CCc1cc(Oc2ccc(F)cc2CNC)ccc1Cl,5.34,5.244375
2,NC(=O)C1CSCC(c2ccc(OCc3cccc(F)c3)cc2)N1,4.6,5.558124999999999
2,CNCc1ccc(Cl)cc1Oc1ccc(Cl)c(C)c1,5.75,5.192499999999999
2,CNCc1ccc(Cl)cc1Oc1ccc(C)c(Cl)c1,5.97,5.192499999999999
2,O=C(Nc1cccc(Cl)c1)N1CCN(CC2CCCN(C3CC3)C2)CC1,4.55,5.060625
2,O=C(Nc1ccc(Cl)cc1)N1CCN(CC2CCCN(C3CC3)C2)CC1,4.85,5.0268749999999995
2,N#Cc1cc(C2CCC(C(N)=O)N2)ccc1OCc1ccccc1F,4.8,5.1031249999999995
2,FC(F)Oc1ccccc1CC(c1ccccc1)N1CCNCC1,4.9,5.769374999999999
2,CC(C)Oc1ccccc1CC(c1ccccc1)N1CCNCC1,5.2,5.590625
2,Cc1ccc(C(C)N2C3CCC2CC(Oc2cccc(C(N)=O)c2)C3)cn1,8.52,5.201874999999999
2,NC(=O)c1cccc(OC2CC3CCC(C2)N3C2(c3ccccc3)CC2)c1,8.32,5.691875
2,NC(=O)c1cccc(NC2CC3CCC(C2)N3Cc2ccccc2)c1,5.96,5.879375
2,CNCc1ccc(OC)cc1Oc1ccc(Cl)c(Cl)c1,6.16,5.268750000000001
2,c1ccc(C(Cc2ccccc2OC2CC2)N2CCNCC2)cc1,5.19,5.769374999999999
2,NC(=O)c1cccc(SC2CC3CCC(C2)N3Cc2ccccc2)c1,5.96,5.879375
2,Brc1cncc(COCC2(c3ccccc3)CCNCC2)c1,4.82,5.918750000000001
2,CNCc1cc(C(N)=O)ccc1Oc1ccc(Cl)c(Cl)c1,5.26,5.306249999999998
2,NC(=O)C1CCC(c2ccc(OCc3ccccc3F)cc2F)N1,4.9,5.1031249999999995
2,N#Cc1cccc(COc2ccc(C3CCC(C(N)=O)N3)cc2)c1,4.9,5.538124999999999
2,N#Cc1ccccc1COc1ccc(C2CCC(C(N)=O)N2)cc1,4.8,5.09125
2,N#Cc1ccc(COc2ccc(C3CCC(C(N)=O)N3)cc2)cc1,5.1,5.946250000000001
2,NC(=O)C1CCC(c2ccc(OCc3ccccc3F)cn2)N1,4.8,5.121874999999999
2,CCOc1ccccc1CC(c1ccccc1)N1CCNCC1,5.16,5.601249999999999
2,CCC(CC)CN=c1c(C(N)=O)c[nH]c2ccc(C#N)cc12,5.64,5.124375
2,CNC(C)c1cc(F)ccc1Oc1ccc(Cl)cc1,5.28,5.205
2,NC(=O)C1CCCC(c2ccc(OCc3cccc(F)c3)cc2)N1,5.0,5.538124999999999
2,NC(=O)c1cccc(OC2CC3CCC(C2)N3CC2CCCCC2)c1,7.199999999999999,5.254374999999999
2,CNC(=O)C1CCC(c2ccc(OCc3ccccc3F)cc2)N1,4.6,5.121874999999999
2,CNCc1ccc(Cl)cc1Oc1ccc(Cl)c(F)c1,5.91,5.246875000000001
2,CNCc1cc(F)ccc1Oc1ccc(Cl)c(Cl)c1,5.25,5.246875000000001
2,CNCc1ccc(Cl)cc1Oc1ccc(F)c(Cl)c1,5.68,5.246875000000001
2,CNCc1ccc(F)cc1Oc1ccc(Cl)c(Cl)c1,5.52,5.246875000000001
2,Cc1ccc(CN2C3CCC2CC(Oc2cccc(C(N)=O)c2)C3)s1,8.085,5.3112499999999985
2,FC(F)(F)Oc1ccccc1CC(c1ccccc1)N1CCNCC1,4.96,5.9643749999999995
2,CNCc1cc(Cl)ccc1Oc1ccc(C)c(C)c1,5.28,5.192499999999999
2,CNCc1ccc(Cl)cc1Oc1ccc(C)c(C)c1,5.76,5.192499999999999
2,CC(c1ccccc1)N1C2CCC1CC(Oc1cccc(C(N)=O)c1)C2,8.22,5.602499999999999
2,CNCc1ccc(Cl)cc1Oc1ccc(Cl)cc1,6.19,5.234999999999999
2,CNCc1cc(Cl)ccc1Oc1ccc(Cl)cc1,5.32,5.234999999999999
2,CNCc1ccc(Cl)cc1Oc1cccc(Cl)c1,5.68,5.276875
2,CNCc1ccccc1Oc1ccc(Cl)c(Cl)c1,5.41,5.2993749999999995
2,NC(=O)C1CCC(c2cccc(OCc3ccccc3)c2)N1,4.6,5.88875
2,NC(=O)C1CCC(c2ccc(OCc3ccccc3)cc2)N1,5.1,5.869999999999999
2,NC(=O)C1CCC(c2ccc(OCc3cccc(F)c3)cc2)N1,5.5,5.538124999999999
2,NC(=O)C1CCC(c2ccc(OCc3ccccc3F)cc2)N1,5.1,5.1031249999999995
2,NC(=O)C1CCC(c2ccc(OCc3ccc(F)cc3)cc2)N1,5.1,5.595625
2,CC(Oc1ccc(C2CCC(C(N)=O)N2)cc1)c1ccccc1,5.4,5.395625
2,CNCc1ccc(Cl)cc1Oc1ccc(C)cc1,5.79,5.192499999999999
2,NC(=O)c1ccc(OC2CC3CCC(C2)N3Cc2ccccc2)c(F)c1,5.85,5.909374999999999
2,NC(=O)c1cc(F)cc(OC2CC3CCC(C2)N3Cc2ccccc2)c1,6.17,5.933124999999999
2,CNCc1cc(C(F)(F)F)ccc1Oc1ccc(C)cc1,4.98,5.52125
2,Cc1ccccc1CN1C2CCC1CC(Oc1cccc(C(N)=O)c1)C2,9.21,5.211874999999999
2,Cc1ccc(CN2C3CCC2CC(Oc2cccc(C(N)=O)c2)C3)cc1,9.85,5.6587499999999995
2,Cc1cc(OC2CC3CCC(C2)N3Cc2ccccc2)cc(C(N)=O)c1,6.18,5.7212499999999995
2,Cc1cccc(CN2C3CCC2CC(Oc2cccc(C(N)=O)c2)C3)c1,9.28,5.5825
2,Cc1c(OC2CC3CCC(C2)N3Cc2ccccc2)cccc1C(N)=O,5.96,5.739999999999999
2,Cc1cc(C(N)=O)ccc1OC1CC2CCC(C1)N2Cc1ccccc1,6.0,5.793124999999999
2,CNCc1cc(F)ccc1Oc1ccc(C)c(C)c1,4.7,5.203749999999999
2,CC(c1ccncc1)N1C2CCC1CC(Oc1cccc(C(N)=O)c1)C2,8.43,5.230624999999999
2,CNCc1ccc(Cl)cc1Oc1ccc(F)c(C)c1,5.52,5.204375000000001
2,O=C1N(CCN2CCC(C(F)(F)F)CC2)CCN1c1cccc(O)c1,4.8,5.52
2,CNCc1cc(F)ccc1Oc1ccc(Cl)cc1,5.13,5.246875000000001
2,NC(=O)c1cncc(OC2CC3CCC(C2)N3Cc2ccccc2)n1,4.82,5.93125
2,NC(=O)c1cccc(CC2CC3CCC(C2)N3Cc2ccccc2)c1,6.21,5.879375
2,NC(=O)c1cccc(OC2CC3CCC(C2)N3Cc2cccs2)c1,9.37,5.311874999999999
2,NC(=O)C1CCC(c2cccc(Oc3ccccc3)c2)N1,4.2,5.501874999999999
2,NC(=O)C1CCC(c2ccc(Oc3ccccc3)cc2)N1,4.9,5.483124999999999
2,Cc1ccc(CN2C3CCC2CC(Oc2cccc(C(N)=O)c2)C3)o1,8.55,5.169999999999999
2,N#Cc1ccccc1Oc1ccc(C2CCC(C(N)=O)N2)cc1,5.4,5.059374999999999
2,NC(=O)c1cccc(OC2CC3CCC(C2)N3CC2CC2)c1,8.14,5.254374999999999
2,NC(=O)c1ccccc1OC1CC2CCC(C1)N2Cc1ccccc1,6.47,5.933124999999999
2,NC(=O)c1cccc(OC2CC3CCC(C2)N3Cc2ccccc2)c1,6.21,5.951874999999999
2,NC(=O)c1ccc(OC2CC3CCC(C2)N3Cc2ccccc2)cc1,6.17,6.004999999999999
2,NC(=O)c1cccc(OC2CC3CCC(C2)N3Cc2ccccc2)n1,6.0,5.95125
2,NC(=O)c1cncc(OC2CC3CCC(C2)N3Cc2ccccc2)c1,5.82,5.931875
2,NC(=O)c1ccnc(OC2CC3CCC(C2)N3Cc2ccccc2)c1,6.0,5.932499999999999
2,NC(=O)c1cccc(OC2CC3CCC(C2)N3Cc2ccccn2)c1,8.72,5.266249999999999
2,NC(=O)c1cccc(OC2CC3CCC(C2)N3Cc2cccnc2)c1,8.46,5.591249999999999
2,NC(=O)c1ccc(OC2CC3CCC(C2)N3Cc2ccccc2)nc1,5.89,6.003124999999999
2,NC(=O)c1cc(OC2CC3CCC(C2)N3Cc2ccccc2)ccn1,5.8,5.933124999999999
2,NC(=O)c1cccc(OC2CC3CCC(C2)N3Cc2ccncc2)c1,8.82,5.611249999999998
2,CNCc1cc(F)ccc1Oc1ccc(F)c(Cl)c1,5.08,5.246875000000001
2,CNCc1cc(F)ccc1Oc1ccc(Cl)c(F)c1,5.33,5.246875000000001
2,CNCc1ccc(C#N)cc1Oc1ccc(Cl)c(Cl)c1,5.88,5.256875000000001
2,CNCc1cc(C#N)ccc1Oc1ccc(Cl)c(Cl)c1,5.34,5.256875000000001
2,NC(=O)C1CCC(c2ccc(Oc3ccc(F)cc3)cc2)N1,5.3,5.006875
2,NC(=O)C1CCC(c2ccc(Oc3cccc(F)c3)cc2)N1,5.1,5.025625
2,CN1C(C(N)=O)CCC1c1ccc(OCc2ccccc2F)cc1,4.3,5.139374999999999
2,COc1ccccc1CC(c1ccccc1F)N1CCNCC1,4.4,5.213125
2,COc1ccccc1CC(c1ccc(F)cc1)N1CCNCC1,4.8,5.200625
2,COc1cccc(F)c1CC(c1ccccc1)N1CCNCC1,5.07,5.54875
2,COc1c(F)cccc1CC(c1ccccc1)N1CCNCC1,4.68,5.714062500000001
2,COc1ccccc1CC(c1ccccc1)N1CCNCC1,4.41,5.516875
2,NC(=O)c1cccc(OC2CC3CCC(C2)N3C2CCCCC2)c1,7.82,5.211874999999999
2,CC(C)CN(C(=O)c1cccc(Cl)c1Cl)C1CCNC1,4.7,4.974375
2,Oc1cccc(OC2CC3CCC(C2)N3Cc2ccccc2)c1,5.8,5.993125000000001
2,c1ccc(C(Cc2cccc3c2OCC3)N2CCNCC2)cc1,4.67,5.750624999999999
3,CNC(C)c1ccccc1Oc1ccc(Cl)c(Cl)c1,5.42,5.804473684210526
3,CNCCCN1c2ccccc2CCc2ccccc21,5.86,5.98263157894737
3,CNC(=O)c1ccc(-c2ccc3c(c2)CCN(CCN2CCCC2C)C3=O)cc1,4.77,5.4878947368421045
3,N#Cc1cc(N2CCN(CCN3Cc4ccccc4C3)C2=O)ccc1F,5.0,5.921842105263158
3,Cc1ccc(NC(=O)N2CCN(CC3CCCN(C4CC4)C3)CC2)cc1Cl,5.15,5.767631578947367
3,CNC(C)c1ccc(Cl)cc1Oc1ccc(C)c(C)c1,5.61,5.826052631578948
3,O=C1N(CCN2CC3CCC2C3)CCN1c1cccc(Cl)c1,4.9,5.993157894736842
3,Cc1ccc(C(C)N2C3CCC2CC(Oc2cccc(C(N)=O)c2)C3)s1,8.675,5.807894736842106
3,COCC1CCCN1N1CCN(c2cccc(Cl)c2)C1=O,5.3,5.725000000000001
3,O=C(Nc1ccc(Cl)c(Cl)c1)N1CCN(CC2CCCNC2)CC1,5.8,5.985263157894737
3,Cc1ccc(N2CCN(CCN3Cc4ccccc4C3)C2=O)s1,4.5,5.829999999999999
3,Fc1ccccc1C(Cc1ccccc1OC(F)F)N1CCNCC1,5.19,5.825
3,Fc1cccc(OC(F)F)c1CC(c1ccccc1)N1CCNCC1,4.98,6.097105263157896
3,Fc1ccc(C(Cc2ccccc2OC(F)F)N2CCNCC2)cc1,5.04,5.8355263157894735
3,Fc1cccc(C(Cc2ccccc2OC(F)F)N2CCNCC2)c1,5.08,5.835526315789474
3,NC(=O)c1cccc(OC2CC3CCC(C2)N3Cc2ccc3c(c2)OCO3)c1,9.21,6.1450000000000005
